ID,jobTitle,companyName,jobLocation,jobSummary
197,MID/SR LEVEL WETLAND SCIENTIST - BS REQUIRED,Soundview Consultants LLC,"Seattle, WA","Scientist, wetland, delineation, western Washington, assessment, consulting. Experience in accurately completing field reconnaissance and investigations..."
198,Computer Scientist,Federal Bureau of Investigation,"Seattle, WA","Assist in the development and use of basic computing environments for analysis of digital data. Use, troubleshoot and modify existing tools and methods to..."
199,Data Scientist (MS1706),"Akvelon, Inc.","Seattle, WA","Collaborate with other data scientists and stakeholders on projects. Experience building data pipelines. Experience in marketing analytics, attribution modeling..."
200,Applied Research Scientist - Machine Learning,Apple,"Seattle, WA",We are looking for applied scientists with a passion for using machine learning to transform in-the-wild sensing data from the most worn wearables into...
201,Computer Scientist,Federal Bureau of Investigation,"Seattle, WA",*_Must use the Mozilla Firefox web browser when applying to FBIJobs.gov job openings and Talent Networks.....
202,Senior Data Scientist (Bellevue),zulily,"Seattle, WA 98121 (Belltown area)","Data Science / Analytics. Proven history working of data integration with SQL, as well as within a statistical programming language such as R or Python in a for..."
203,Lead Data Scientist,eXcell,"Seattle, WA",Provide hands-on technical guidance to data scientists and analysts to encourage technical growth and ensure proper application of standard methodologies....
204,"Research Scientist, Machine Learning and Intelligence",Google,"Seattle, WA","We’ve already been joined by some of the best minds, and we’re looking for talented Research Scientists that have applied experience in the fields of Machine..."
205,"Data Scientist, Growth & Analytics",Facebook,"Seattle, WA 98101 (Downtown area)","The Data Scientist Analytics role has work across the following four areas:. Apply your expertise in quantitative analysis, data mining, and the presentation of..."
206,"Data Scientist, Marketing Science R&D",Facebook,"Seattle, WA 98101 (Downtown area)","Experience with causal inference, including leveraging observational data and addressing challenges from missing data...."
207,Data Scientist,Stackline,"Seattle, WA 98101 (Downtown area)","As a Data Scientist at Stackline, you will work on a fast-paced team-focused environment developing applied machine learning solutions to provide predictive..."
208,"Data Scientist, Automated Benchmarking","Amazon.com Services, Inc.","Seattle, WA",This candidate will have a wide range of basic quantitative skills to investigate problems quickly and identify next steps required to reach an optimal solution...
209,Data Scientist for New Seller Success,"Amazon.com Services, Inc.","Seattle, WA",Our Applied Science team will provide a full-stack data solution - everything from building data capture mechanisms into software services to building business...
210,Data Engineer,Amazon Retail LLC,"Seattle, WA","Extracting and combining data from various heterogeneous data sources. Demonstrated ability in data modeling, ETL development, and data warehousing...."
211,St. Data Scientist,"Amazon.com Services, Inc.","Seattle, WA","Experience applying machine learning concepts. FIO is a cross-functional team of data and research scientists, engineers, economists, and product managers..."
212,"senior data scientist, Supply Chain Advanced Analytics, SSC - Seattle, WA",Starbucks,"Seattle, WA 98105 (Ravenna - U District area)","This position partners on a cross-functional team of data scientists, statisticians, and business analysts supporting strategic initiatives utilizing the latest..."
213,Data Engineer - AI Assistant,Facebook,"Seattle, WA 98101 (Downtown area)",Come work alongside expert software engineers and research scientists to empower the technology that makes AI Assistant pervasive and universal....
214,MID/SR LEVEL WETLAND SCIENTIST - BS REQUIRED,Soundview Consultants LLC,"Seattle, WA","Our scientists work with many of the Pacific Northwest’s leading companies, public entities, and regulatory agencies with a notably high level of success in..."
215,"Data Engineer, Visualization",Big Fish Games,"Seattle, WA 98104 (First Hill area)",The data engineering team is looking for a data engineer to provide insights and data visualizations for many of the business units at Big Fish Games....
216,Data Scientist (MS1706),"Akvelon, Inc.","Seattle, WA","Collaborate with other data scientists and stakeholders on projects. MS / PhD in Machine Learning, Statistics, Computer Science, Data Mining, Math or any..."
217,Data Scientist—Demand Forecasting,"Amazon.com Services, Inc.","Seattle, WA","Data Scientist Responsibilities. In a typical day, you will work closely with talented machine learning scientists, statisticians, software engineers, and..."
218,"Data Scientist, Machine Learning","Amazon Mechanical Turk, Inc.","Seattle, WA","As a Data Scientist on the team, you will apply your strong background in ML, statistics and data engineering to devise new ways to combine machine and human..."
219,"Data Scientist, Alexa AI","Amazon.com Services, Inc.","Seattle, WA","3-5 years experience with various machine learning/statistical modeling data analysis tools and techniques, and parameters that affect their performance...."
220,Siri - Data Scientist (Machine Learning & Natural Language),Apple,"Seattle, WA","Prior experience with applying Big Data tools (MapReduce, Hadoop, Hive and/or Pig, Spark) to large quantities of textual data is desired...."
221,"Data Scientist, AGL Exports","Amazon.com Services, Inc.","Seattle, WA","You will analyze and process large amounts of data, develop new sophisticated algorithms and improve existing approaches based on statistical models, machine..."
222,"Research Analyst, People Analytics",Google,"Seattle, WA","Experience using SQL to clean data. We are a group of social scientists, with research backgrounds, who conduct experimental, survey, and archival research to..."
223,"Data Scientist, Natural Language Processing (NLP), descriptive statistics, statistical modelling, machine learning","Amazon.com Services, Inc.","Seattle, WA",Collaborate with scientists and engineers on data collection and feature design efforts. We are looking for a Data Scientist to join our science and data...
224,Senior Data Scientist,Direct-to-Consumer and International,"Seattle, WA",Data Scientist to work on a big data platform responsible for the collection of all consumer integrations across various products for several businesses within...
225,Data Scientist - Amazon Music NLU,"Amazon.com Services, Inc.","Seattle, WA","MS + 2 years or BS + 5 years of experience with machine learning, statistical modeling, data mining, and analytics techniques...."
226,Prinicpal Data Scientist,Marchex,"Seattle, WA 98101 (Downtown area)",Experience building systems based on machine learning and/or deep learning methods. Applied Research Scientist....
227,MID/SR LEVEL WETLAND SCIENTIST - BS REQUIRED,Soundview Consultants LLC,"Seattle, WA","Our scientists work with many of the Pacific Northwest’s leading companies, public entities, and regulatory agencies with a notably high level of success in..."
228,Computer Scientist,Federal Bureau of Investigation,"Seattle, WA",*_Must use the Mozilla Firefox web browser when applying to FBIJobs.gov job openings and Talent Networks.....
229,Applied Research Scientist - Machine Learning,Apple,"Seattle, WA",We are looking for applied scientists with a passion for using machine learning to transform in-the-wild sensing data from the most worn wearables into...
230,Lead Data Scientist,eXcell,"Seattle, WA",Provide hands-on technical guidance to data scientists and analysts to encourage technical growth and ensure proper application of standard methodologies....
231,"Data Engineer, Visualization",Big Fish Games,"Seattle, WA 98104 (First Hill area)",The data engineering team is looking for a data engineer to provide insights and data visualizations for many of the business units at Big Fish Games....
232,Senior Data Scientist (Bellevue),zulily,"Seattle, WA 98121 (Belltown area)","Data Science / Analytics. Proven history working of data integration with SQL, as well as within a statistical programming language such as R or Python in a for..."
233,Data Scientist (MS1706),"Akvelon, Inc.","Seattle, WA","Collaborate with other data scientists and stakeholders on projects. MS / PhD in Machine Learning, Statistics, Computer Science, Data Mining, Math or any..."
234,"Research Scientist, Customer Service","Amazon.com Services, Inc.","Seattle, WA","Are enthusiastic about collaborating with other researchers, data scientists, and business intelligence engineers to provide actionable insights...."
235,"Data Scientist, Analytics - Ads Foundations",Facebook,"Seattle, WA 98101 (Downtown area)","Work with data engineers to architect, develop, and optimize data and modeling pipelines. We are looking for a Data Scientist who loves a technical challenge..."
236,Scientist I,Infectious Disease Research Institute,"Seattle, WA 98102 (Capitol Hill area)","Scientific publication record with the proven ability to effectively write scientific papers. Great lab bench skills, able to maintain good lab records and..."
237,Senior Data Scientist - Operations (Zillow Offers),Zillow Group,"Seattle, WA 98101 (Downtown area)","Dive into Zillow's internal and third-party data (think Hive, Presto, SQL Server, Python, R, Tableau) to develop solutions that will help move the business..."
238,Applied Scientist,Amazon Retail LLC,"Seattle, WA",We're looking for an applied scientist who will help utilize our data through analytics and machine learning to provide key insights and enable new business...
239,"Data Scientist, Analytics - Developer Ecosystem",Facebook,"Seattle, WA 98101 (Downtown area)","Work with data engineers to architect data and modeling pipelines. Plan, and be able to conduct as needed, end-to-end analyses, from data requirement gathering,..."
240,Scientist I - Machine learning methods for multimodal clustering of brain cells,Allen Institute,"Seattle, WA 98109 (Westlake area)",This position will work with interdisciplinary teams consisting of quantitative and experimental scientists on high-priority modeling and analysis problems that...
241,"Data Scientist, Marketing Science R&D",Facebook,"Seattle, WA 98101 (Downtown area)","Experience with causal inference, including leveraging observational data and addressing challenges from missing data...."
242,Senior Data Scientist (Zillow Offers),Zillow Group,"Seattle, WA 98101 (Downtown area)",You will serve as a mentor to other Data Scientists on the team and Analysts across the company by leading learning academies and serving as an available...
243,Machine Learning Scientist,"Amazon Web Services, Inc.","Seattle, WA",We are looking for Machine Learning Scientists / Applied Scientists / ML Scientists with unfettered curiosity and drive to help build “best in the world”...
244,MID/SR LEVEL WETLAND SCIENTIST - BS REQUIRED,Soundview Consultants LLC,"Seattle, WA","Our scientists work with many of the Pacific Northwest’s leading companies, public entities, and regulatory agencies with a notably high level of success in..."
245,Computer Scientist,Federal Bureau of Investigation,"Seattle, WA",*_Must use the Mozilla Firefox web browser when applying to FBIJobs.gov job openings and Talent Networks.....
246,Applied Research Scientist - Machine Learning,Apple,"Seattle, WA",We are looking for applied scientists with a passion for using machine learning to transform in-the-wild sensing data from the most worn wearables into...
